Ticker,Model,MSE,RMSE,MAE
AAPL,XGBoost,16013.279659048267,126.54358798077548,122.84310346675825
AMD,XGBoost,7344.739853222643,85.70145770768805,80.09583194346368
AMZN,XGBoost,9197.52286824384,95.90371665500686,87.47623549352718
BAC,XGBoost,243.42720087247628,15.60215372544689,14.421487941017634
CSCO,XGBoost,483.8517078519573,21.996629465714907,20.709243269811704
DIS,XGBoost,157.0722883177636,12.532848372088589,9.84416058697278
GOOGL,XGBoost,7713.6823583385785,87.8275717433801,82.10609608420843
IBM,XGBoost,7321.672800058176,85.56677392573694,67.96567756556257
INTC,XGBoost,38.28853726069893,6.187773206954092,5.100464207613015
JPM,XGBoost,13711.369226589622,117.09555596430474,103.1492105121854
MA,XGBoost,73804.42938426613,271.6697064162034,259.1133222169514
META,XGBoost,105379.48908853368,324.62207116666247,280.0063633022024
MSFT,XGBoost,63130.442277502334,251.25772083162406,238.93711204045937
NFLX,XGBoost,222984.5706791178,472.2124211402299,374.5052795217007
NVDA,XGBoost,7541.356683755913,86.8409850459788,70.32170375630825
ORCL,XGBoost,8380.138052799457,91.54309396562614,79.5045577423482
PEP,XGBoost,4243.176920868312,65.1396724037534,64.24505364140377
PYPL,XGBoost,984.5950174870101,31.37825708172795,30.38642012538501
TSLA,XGBoost,28114.553737640486,167.6739506829862,157.5049463209763
V,XGBoost,24577.712521271435,156.77280542642413,148.4991539194614
