Ticker,Model,MSE,RMSE,MAE
AAPL,LSTM,60.42632940472968,7.773437425279094,6.100390583813035
AMD,LSTM,79.70237394205868,8.92761860420004,6.8165690512767485
AMZN,LSTM,85.74918820370682,9.26008575574259,7.510283698153067
BAC,LSTM,2.96413617978273,1.7216666866100214,1.4222234956403013
CSCO,LSTM,1.69445570115041,1.301712603131125,0.9912646472607296
DIS,LSTM,15.40904741213891,3.9254359518579474,2.986503512816441
GOOGL,LSTM,78.67845544799717,8.870087679837058,7.1809394267653435
IBM,LSTM,165.2219996616981,12.85387099910755,9.520665862566398
INTC,LSTM,3.2539323753100553,1.803865952699938,1.3394367664209674
JPM,LSTM,255.2692010236743,15.97714621024901,13.364530166194497
MA,LSTM,194.04280791201472,13.929924906905088,10.682751927706764
META,LSTM,723.8139028245998,26.903789748371878,20.025024414062504
MSFT,LSTM,135.47598589106366,11.639415186815171,9.382285385327965
NFLX,LSTM,1569.8221716386167,39.6209814572862,27.80678834890645
NVDA,LSTM,92.9934396721367,9.643310617839534,6.641228300746731
ORCL,LSTM,133.9199051988561,11.572376817182203,7.917069682731724
PEP,LSTM,20.66747052986327,4.546148977966216,3.694533634921272
PYPL,LSTM,7.790679517323258,2.791178875909471,2.0954021826951568
TSLA,LSTM,330.47867929728136,18.1790725642779,13.446068144414529
V,LSTM,75.38908044127886,8.682688549134932,6.476960542575867
